epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
113,29261.8,1.5584,1.17882,1.16637,0.54352,0.45305,0.46827,0.28886,1.50286,1.13387,1.18336,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,29520.9,1.56257,1.17858,1.16678,0.54111,0.45155,0.4681,0.28889,1.50159,1.13272,1.18253,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,29779.6,1.56104,1.17431,1.16369,0.53941,0.45401,0.46874,0.2892,1.50179,1.13171,1.18251,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,30039.1,1.55556,1.17448,1.16736,0.53877,0.4537,0.46884,0.28964,1.50187,1.13108,1.18265,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,30296.3,1.55603,1.17967,1.16882,0.5442,0.45307,0.46912,0.29036,1.50117,1.13052,1.18203,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,30554.9,1.55509,1.174,1.16512,0.54552,0.45325,0.47027,0.29076,1.50111,1.13038,1.18182,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,30813.2,1.55932,1.17541,1.16417,0.5428,0.45607,0.47068,0.29059,1.50074,1.12957,1.18158,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,31070.7,1.55425,1.17037,1.16387,0.54615,0.45579,0.47142,0.29088,1.5006,1.12948,1.18128,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,31328.8,1.55672,1.16957,1.16618,0.54214,0.45744,0.47107,0.29122,1.50082,1.12902,1.18112,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,31599.3,1.54757,1.16181,1.15951,0.54485,0.45765,0.47158,0.29113,1.50079,1.12844,1.181,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,31857.2,1.55576,1.17291,1.16495,0.54328,0.45679,0.47118,0.29108,1.50076,1.12856,1.18076,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,32115.5,1.54815,1.1662,1.16149,0.54579,0.45765,0.47172,0.2913,1.50012,1.12837,1.18044,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,32372.7,1.55558,1.16911,1.16206,0.54751,0.45635,0.47191,0.29153,1.50015,1.12785,1.18053,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,32629.9,1.54797,1.16243,1.16133,0.54484,0.4587,0.47233,0.29186,1.49998,1.12722,1.18042,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,32886,1.53805,1.15978,1.15806,0.55106,0.45438,0.47226,0.29177,1.49942,1.12688,1.18014,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,33143.3,1.55068,1.16125,1.16058,0.54878,0.45598,0.4724,0.2921,1.49946,1.12626,1.17995,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,33400.2,1.55243,1.16547,1.16342,0.54814,0.45845,0.47277,0.29246,1.49956,1.12521,1.17981,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,33657.8,1.54464,1.16213,1.15943,0.54624,0.46,0.47306,0.29253,1.49965,1.12521,1.17955,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,33915.5,1.54673,1.16083,1.15822,0.54577,0.46153,0.4732,0.29257,1.49938,1.12462,1.17926,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,34173.5,1.55287,1.16018,1.15755,0.54899,0.46118,0.47355,0.29289,1.49947,1.12397,1.1792,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,34432.2,1.54955,1.15931,1.15766,0.55361,0.45888,0.47412,0.29342,1.49914,1.12375,1.17889,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,34690.2,1.54976,1.16279,1.15916,0.55255,0.45799,0.47446,0.2936,1.49862,1.1234,1.17868,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,34966.9,1.54662,1.15749,1.15739,0.5521,0.45847,0.47481,0.29373,1.49839,1.12324,1.17825,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
136,35225.3,1.53447,1.15034,1.15471,0.55089,0.45936,0.47518,0.29357,1.49815,1.12314,1.17826,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
